Topic,Subject,Title,District 01 Estimate,District 02 Estimate,District 03 Estimate,District 04 Estimate,District 05 Estimate,District 06 Estimate,District 07 Estimate,District 08 Estimate,District 09 Estimate,District 10 Estimate,District 11 Estimate,District 12 Estimate,District 13 Estimate,District 14 Estimate,District 15 Estimate,District 16 Estimate,District 17 Estimate,District 18 Estimate,District 19 Estimate,District 20 Estimate,District 21 Estimate,District 22 Estimate,District 23 Estimate,District 24 Estimate,District 25 Estimate,District 26 Estimate,District 27 Estimate,District 28 Estimate,District 29 Estimate,District 30 Estimate,District 31 Estimate,District 32 Estimate,District 33 Estimate,District 34 Estimate,District 35 Estimate,District 36 Estimate,District 37 Estimate,District 38 Estimate,District 39 Estimate,District 40 Estimate,District 41 Estimate,District 42 Estimate,District 43 Estimate,District 44 Estimate,District 45 Estimate,District 46 Estimate,District 47 Estimate,District 48 Estimate,District 49 Estimate,District 50 Estimate,District 51 Estimate,District 52 Estimate
Housing,Selected Monthly Owner Costs(SMOC),$800 to $999,"12,272","11,661","16,237","8,173","13,608","8,758","8,063","7,913","7,604","7,420","3,950","7,243","5,814","8,236","7,445","7,745","8,436","5,083","9,838","9,810","5,710","4,114","8,179","7,704","9,653","8,029","8,054","9,559","4,181","4,282","7,110","5,903","6,070","2,346","4,885","6,783","3,684","9,596","4,523","10,528","10,298","3,882","5,561","4,800","8,602","4,167","6,535","8,353","9,361","7,094","6,897","6,076"
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 or more","14,666","31,562","31,243","20,747","25,447","9,156","12,342","13,368","13,456","36,800","23,550","22,147","9,592","19,504","27,029","37,436","26,184","11,274","34,299","14,455","6,229","5,099","10,868","22,497","12,677","18,883","17,730","24,834","13,159","18,692","10,090","31,426","8,362","6,428","11,034","26,607","7,363","13,843","10,315","26,514","30,194","7,818","6,907","7,143","17,659","7,104","28,828","19,856","27,596","26,525","15,148","9,262"
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),664,907,889,783,816,694,711,767,734,"1,183","1,091","1,012",621,930,"1,009","1,337","1,084",753,"1,068",720,570,587,666,800,654,845,893,911,922,"1,089",690,"1,322",632,749,737,"1,086",848,751,621,957,921,728,733,665,798,640,"1,042",885,"1,012","1,091",802,665
Housing,Gross Rent,Occupied units paying rent,"98,166","98,917","80,744","103,356","83,378","112,775","102,543","97,055","86,074",N,"214,447","163,019","93,811","91,674","105,700","108,872","134,301","101,620","91,189","87,618","98,065","99,487","86,608","121,068","82,366","82,805",N,"116,117","139,857","235,451","85,683","141,639","80,411","208,727","93,204","174,830","177,072","73,552","80,075",N,"67,849","146,257","135,118","115,204","95,493","126,798","139,725","70,144","102,404","161,909","136,067","108,441"
Housing,Gross Rent,Less than $500,"5,965","5,268","2,823","4,475","2,597","3,616","4,900","6,033","2,613",N,"14,916","8,826","6,035","2,260","2,489","3,648","2,414","5,385","2,848","2,520","4,279","5,495","3,052","4,343","5,755","1,796",N,"2,771","4,967","6,661","3,684","2,620","2,574","15,728","2,480","4,578","9,329","2,136","1,574",N,"3,191","3,450","6,610","3,787","2,683","7,376","1,986",925,944,"2,772","3,025","2,354"
Housing,Gross Rent,$500 to $999,"21,106","11,316","8,560","8,206","8,604","5,934","7,768","5,351","9,168",N,"19,204","11,007","18,337","3,073","4,286","4,297","2,823","6,628","4,514","11,419","20,151","27,605","11,378","6,181","20,674","4,349",N,"5,420","8,295","11,015","5,522","4,596","7,098","26,614","5,807","5,773","19,314","2,538","4,293",N,"5,451","7,230","12,681","10,245","4,832","3,616","3,357","3,412","1,786","4,497","3,932","6,280"
Housing,Gross Rent,"$1,000 to $1,499","33,217","18,457","14,060","15,599","21,309","28,522","25,562","11,237","24,656",N,"26,465","23,980","31,791","4,492","4,879","5,296","3,072","14,096","9,234","28,420","37,922","39,909","21,680","18,387","24,421","9,809",N,"14,865","30,654","37,126","15,178","15,317","17,653","55,179","15,160","15,793","42,591","9,149","14,848",N,"11,474","34,545","30,159","31,425","9,758","13,646","6,915","8,073","6,906","13,706","12,573","19,212"
Housing,Gross Rent,"$1,500 to $1,999","20,079","20,985","16,171","23,082","24,501","39,777","25,522","23,169","23,188",N,"25,595","32,709","22,480","13,095","12,022","12,168","12,443","19,687","18,573","21,810","22,773","17,638","24,328","32,152","15,870","14,536",N,"31,414","41,898","58,343","24,389","30,907","20,673","49,355","25,051","28,630","38,245","24,097","22,346",N,"16,232","52,651","43,710","33,158","21,650","34,811","10,723","15,827","13,185","31,035","25,308","29,644"
Housing,Gross Rent,"$2,000 to $2,499","9,865","14,283","21,735","23,734","15,769","22,849","23,344","25,147","13,334",N,"27,507","32,051","9,126","21,775","22,502","20,607","19,912","19,921","19,631","13,808","8,812","6,893","14,396","24,382","8,818","15,579",N,"29,774","26,603","48,604","19,119","33,940","16,710","31,242","22,676","32,236","24,873","17,190","20,163",N,"11,799","26,615","23,634","19,542","27,846","39,786","29,228","18,168","24,874","33,094","29,257","22,758"
Housing,Gross Rent,"$2,500 to $2,999","5,494","11,546","8,237","14,710","5,342","7,322","9,491","12,577","7,709",N,"25,272","22,604","3,771","20,546","17,138","16,010","31,526","13,449","11,869","6,637","2,893","1,113","6,580","11,825","3,094","15,674",N,"15,035","13,627","28,487","10,650","20,636","8,517","14,252","11,416","26,061","18,026","8,237","10,945",N,"7,835","12,050","8,414","9,769","12,460","13,780","28,771","9,364","18,990","27,194","24,771","14,936"
Housing,Gross Rent,"$3,000 or more","2,440","17,062","9,158","13,550","5,256","4,755","5,956","13,541","5,406",N,"75,488","31,842","2,271","26,433","42,384","46,846","62,111","22,454","24,520","3,004","1,235",834,"5,194","23,798","3,734","21,062",N,"16,838","13,813","45,215","7,141","33,623","7,186","16,357","10,614","61,759","24,694","10,205","5,906",N,"11,867","9,716","9,910","7,278","16,264","13,783","58,745","14,375","35,719","49,611","37,201","13,257"
Housing,Gross Rent,Median (dollars),"1,320","1,844","1,962","2,007","1,687","1,730","1,755","2,054","1,642","2,613","2,383","2,078","1,356","2,528","2,695","2,763","2,920","2,126","2,266","1,533","1,292","1,163","1,648","1,992","1,311","2,350","2,067","2,060","1,810","2,047","1,878","2,256","1,812","1,569","1,962","2,508","1,726","1,976","1,932","2,680","1,925","1,765","1,707","1,683","2,158","2,050","2,807","2,188","2,592","2,437","2,396","1,945"
Housing,Gross Rent,No rent paid,"7,165","6,866","3,721","4,169","2,767","2,583","3,893","3,710","5,062",N,"7,514","4,508","6,261","3,499","2,419","3,078","2,834","2,877","3,689","5,295","4,144","4,052","4,162","5,793","3,569","1,991",N,"3,986","2,635","5,796","3,249","4,066","2,892","4,122","3,385","4,627","3,446","3,111","3,120",N,"2,793","2,788","1,860","2,879","3,434","2,908","3,895","2,557","3,529","3,065","2,279","2,031"
Socioeconomic,Income and Benefits (In 2023 inflation-adjusted dollars),Total households,"290,952","298,256","311,995","285,194","294,732","275,764","267,481","262,450","242,737","273,768","337,775","302,836","226,522","248,627","257,570","271,845","276,769","216,372","271,331","276,897","230,335","216,780","259,438","277,419","250,397","247,844","237,438","271,305","234,850","345,310","216,767","302,443","220,734","272,767","221,847","323,832","261,217","226,907","216,143","268,785","277,163","245,115","235,329","233,890","237,263","223,860","293,327","252,575","278,593","315,685","285,034","229,551"
Socioeconomic,Income and Benefits (In 2023 inflation-adjusted dollars),"Less than $10,000","15,682","14,592","14,344","15,035","14,106","16,030","14,353","12,929","11,723","7,213","17,463","19,444","15,343","8,059","9,336","9,051","6,752","10,103","10,892","12,749","18,539","14,298","12,947","14,224","15,594","7,791","8,798","12,427","13,569","20,834","8,831","14,593","9,599","21,096","9,402","14,236","21,690","8,017","9,013","11,705","12,632","12,158","12,581","11,613","9,139","11,672","12,480","7,035","9,828","13,519","12,051","10,766"
Socioeconomic,Income and Benefits (In 2023 inflation-adjusted dollars),"$10,000 to $14,999","14,081","8,531","6,177","9,588","8,299","8,343","6,722","5,875","6,594","4,074","14,745","11,083","11,155","4,274","5,057","5,792","3,994","5,041","5,773","8,350","10,899","11,991","10,035","9,100","8,875","3,947","6,399","7,247","8,454","15,112","6,913","6,887","6,171","18,200","5,447","8,969","14,979","5,320","6,928","2,885","8,521","7,613","11,711","8,515","5,483","6,615","4,778","4,720","4,386","5,742","5,056","5,941"
Socioeconomic,Income and Benefits (In 2023 inflation-adjusted dollars),"$15,000 to $24,999","24,502","16,184","16,706","14,313","14,834","13,164","13,742","10,923","12,225","8,025","16,644","17,233","15,850","7,443","8,927","8,059","7,489","10,242","11,598","12,645","16,260","18,532","18,596","15,692","20,164","8,882","11,597","14,257","14,673","22,356","11,765","15,158","11,420","22,524","8,921","12,818","19,540","13,835","9,137","7,660","14,891","14,935","13,681","14,439","12,621","14,091","11,891","8,855","9,111","11,585","13,942","11,443"
Socioeconomic,Income and Benefits (In 2023 inflation-adjusted dollars),"$25,000 to $34,999","19,829","16,923","13,749","14,860","16,918","17,828","13,375","12,886","11,814","8,636","13,748","14,008","17,318","8,626","8,474","6,990","8,434","12,060","8,758","16,675","19,320","19,695","20,307","16,024","23,636","12,283","12,161","13,451","15,449","19,511","12,813","13,804","15,649","22,249","12,201","13,387","20,283","11,510","10,880","8,348","13,802","15,942","17,955","16,716","11,885","11,069","10,138","10,317","11,777","13,307","14,222","12,998"
Socioeconomic,Income and Benefits (In 2023 inflation-adjusted dollars),"$35,000 to $49,999","34,324","23,631","25,201","20,277","23,544","24,385","22,699","22,990","22,736","13,364","18,963","23,004","24,130","13,998","16,539","13,731","12,664","15,548","18,794","26,268","27,861","28,478","28,158","24,693","30,115","20,192","19,731","15,544","26,049","28,794","20,005","20,689","20,665","29,580","19,397","17,723","22,379","18,515","20,298","15,934","21,279","23,979","24,697","22,318","18,487","22,429","16,480","17,401","19,145","20,284","20,116","23,594"
Socioeconomic,Income and Benefits (In 2023 inflation-adjusted dollars),"$50,000 to $74,999","48,185","44,849","38,293","37,737","42,827","41,339","38,910","39,029","36,824","25,795","28,340","35,206","41,257","25,979","24,382","21,843","19,741","29,911","30,524","44,576","39,867","39,741","39,786","37,236","41,840","28,352","32,115","37,205","42,413","47,622","31,616","37,505","33,574","46,314","36,794","29,694","37,607","33,795","34,673","26,102","32,615","42,995","40,844","35,913","28,585","37,101","33,409","28,552","36,225","34,929","40,692","31,782"
Socioeconomic,Income and Benefits (In 2023 inflation-adjusted dollars),"$75,000 to $99,999","37,947","33,297","38,133","35,526","41,472","39,514","34,515","31,657","33,286","25,262","30,849","30,339","27,873","24,022","20,505","21,531","20,178","28,439","29,615","39,641","31,717","28,537","33,487","31,129","29,685","27,814","31,372","28,926","30,518","34,319","30,391","35,822","32,917","30,372","31,939","31,784","34,984","27,096","32,730","28,954","35,160","32,437","27,438","31,772","28,823","28,575","31,116","32,773","30,799","36,834","36,092","31,065"
Socioeconomic,Income and Benefits (In 2023 inflation-adjusted dollars),"$100,000 to $149,999","49,076","47,590","59,915","53,892","58,661","55,380","51,524","51,986","47,227","44,413","45,613","49,702","39,086","45,642","41,049","39,183","40,674","40,102","50,418","51,598","35,926","32,253","49,291","52,330","42,961","46,994","41,842","46,431","39,896","55,968","43,840","48,063","42,705","39,386","43,480","49,319","38,987","46,349","45,067","53,940","52,088","45,640","41,680","44,034","46,940","44,166","50,801","54,465","49,500","56,751","51,774","44,841"
Socioeconomic,Income and Benefits (In 2023 inflation-adjusted dollars),"$150,000 to $199,999","22,940","29,414","40,045","34,025","31,213","29,827","33,834","31,477","25,715","39,793","34,209","31,576","18,281","32,866","33,461","27,590","34,317","25,075","32,701","31,462","16,466","14,145","23,845","30,938","21,161","32,768","29,987","33,544","22,023","33,963","24,106","32,203","23,403","20,235","31,281","38,435","20,303","28,439","24,078","36,680","36,658","21,696","24,081","22,732","31,786","22,406","41,041","36,895","32,400","39,796","37,973","29,714"
Socioeconomic,Income and Benefits (In 2023 inflation-adjusted dollars),"$200,000 or more","24,386","63,245","59,432","49,941","42,858","29,954","37,807","42,698","34,593","97,193","117,201","71,241","16,229","77,718","89,840","118,075","122,526","39,851","72,258","32,933","13,480","9,110","22,986","46,053","16,366","58,821","43,436","62,273","21,806","66,831","26,487","77,719","24,631","22,811","22,985","107,467","30,465","34,031","23,339","76,577","49,517","27,720","20,661","25,838","43,514","25,736","81,193","51,562","75,422","82,938","53,116","27,407"
Socioeconomic,Income and Benefits (In 2023 inflation-adjusted dollars),Median household income (dollars),"69,212","92,213","101,591","95,236","91,010","85,648","91,918","95,265","87,352","150,078","129,584","100,789","65,557","131,633","141,704","165,918","175,010","96,762","116,064","85,575","63,382","59,649","74,906","91,972","64,962","113,750","97,411","104,238","72,992","87,307","88,407","104,745","83,850","62,008","87,888","129,277","70,120","95,015","87,085","126,794","99,799","78,377","72,053","80,769","102,317","81,916","123,229","111,073","114,479","115,395","100,267","87,220"
Socioeconomic,Income and Benefits (In 2023 inflation-adjusted dollars),Mean household income (dollars),"90,506","147,360","132,653","127,762","120,806","106,448","117,869","123,727","114,511","196,038","197,921","152,417","87,196","174,248","200,604","253,193","221,645","129,491","162,512","107,405","81,783","75,740","98,821","126,860","86,433","147,673","128,142","145,741","96,558","132,333","108,265","167,322","103,424","88,063","106,981","189,635","101,327","121,192","107,240","164,939","128,373","104,083","93,138","101,866","129,938","102,537","166,705","137,602","165,261","163,873","128,271","110,513"
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population,"739,954","733,754","779,881","749,045","771,838","744,483","756,762","745,852","763,507","739,860","698,726","729,037","768,433","721,942","717,179","745,440","739,056","730,076","717,454","784,189","742,492","750,162","745,399","747,756","764,680","733,402","727,303","742,126","715,749","741,045","712,661","756,702","758,980","703,869","740,776","738,411","732,173","720,589","763,567","753,322","803,987","706,931","713,736","731,885","733,927","740,252","752,036","727,914","719,949","756,520","725,338","715,417"
Socioeconomic,Health Insurance Coverage,With health insurance coverage,"692,169","702,774","751,572","718,401","743,642","704,952","718,737","690,372","718,502","717,811","677,021","695,329","706,393","696,092","684,084","720,553","719,990","665,942","680,026","751,718","677,859","666,827","691,438","692,597","699,764","681,067","689,426","707,844","647,934","691,111","663,214","719,472","698,649","611,735","666,778","718,096","668,131","670,676","684,530","718,904","754,130","639,375","642,305","667,241","690,251","668,211","713,474","692,629","677,342","719,942","690,663","659,446"
Socioeconomic,Health Insurance Coverage,With private health insurance,"439,802","481,411","585,756","530,260","522,698","470,605","505,898","489,039","472,333","593,390","538,330","504,950","392,190","545,076","529,784","590,642","601,496","403,530","521,830","539,084","331,665","276,590","390,454","481,556","337,896","493,519","483,866","507,155","347,772","477,057","408,435","528,257","412,164","303,457","423,518","590,076","336,627","440,879","414,506","563,731","519,738","367,092","339,606","391,641","457,751","377,218","573,144","516,511","534,967","583,410","508,222","424,030"
Socioeconomic,Health Insurance Coverage,With public coverage,"371,727","332,749","302,157","297,272","338,146","327,816","295,551","300,497","327,270","219,883","212,746","261,667","390,778","220,411","234,137","207,626","172,011","321,630","250,876","310,035","420,833","442,738","374,056","311,780","436,091","270,939","271,680","271,633","341,662","269,651","304,776","270,638","334,312","343,476","292,836","204,934","376,529","287,617","325,878","225,424","326,661","312,742","356,618","329,168","297,485","330,151","213,677","261,362","227,803","209,582","261,988","301,534"
Socioeconomic,Health Insurance Coverage,No health insurance coverage,"47,785","30,980","28,309","30,644","28,196","39,531","38,025","55,480","45,005","22,049","21,705","33,708","62,040","25,850","33,095","24,887","19,066","64,134","37,428","32,471","64,633","83,335","53,961","55,159","64,916","52,335","37,877","34,282","67,815","49,934","49,447","37,230","60,331","92,134","73,998","20,315","64,042","49,913","79,037","34,418","49,857","67,556","71,431","64,644","43,676","72,041","38,562","35,285","42,607","36,578","34,675","55,971"
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population under 19 years,"181,299","153,011","168,921","162,918","178,042","177,570","182,191","166,759","208,168","174,155","96,563","134,767","237,581","165,130","141,750","174,006","142,658","196,482","143,946","220,945","226,925","246,316","202,732","169,357","205,985","173,399","195,209","150,126","164,625","112,390","161,948","147,754","216,887","139,872","189,960","138,680","164,496","162,013","203,583","166,440","187,209","152,948","172,209","171,944","163,440","166,621","161,293","182,061","162,345","145,782","162,865","184,614"
Socioeconomic,Health Insurance Coverage,No health insurance coverage,"6,977","4,105","4,901","3,039","4,878","3,160","4,788","6,044","7,123","3,686","1,615","3,377","5,203","2,719","4,128","4,102","2,616","5,384","3,469","3,968","9,007","12,925","7,442","8,213","6,365","6,227","6,563","4,519","5,848","2,100","4,862","2,477","10,537","6,894","9,712","1,141","3,535","6,654","12,186","5,617","6,997","5,165","4,918","5,684","6,928","6,180","4,480","5,968","6,874","2,449","5,047","6,486"
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All families,10.3,5.3,4.3,6.8,7.3,8.7,9.8,7.8,9.9,4.6,7.5,7.4,14.7,4.4,5.3,4.8,3.7,8.9,5.4,8.8,17.5,18.7,11.9,8.4,11.9,6.1,7.5,8,12.2,9.5,9.6,7.1,11.6,15.2,9.9,4.4,15.6,8.4,11.1,5,8.4,10,12,11.9,6.3,8.8,5.8,5.3,4.6,5.2,7.9,8.8
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,16.2,8.2,5.9,8.7,10.7,12.6,12.3,11.2,13.8,6.6,9.3,9.7,21.2,5,6.6,5.3,4.8,14,8.5,11.7,23.5,25,16.9,13.9,15,9.2,11.3,8.9,18.2,13.1,14.3,10,15.1,22,12.9,5.5,21.5,10.8,15.1,7.3,9.6,15.7,18.6,16.9,8.8,13.2,7.2,7.6,6.6,7,10.7,11.9
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,16.3,11.4,7.5,4.7,7.3,11.6,11.3,13.2,12.4,5.2,6.5,2.8,27.7,4.9,4.5,3.7,5.7,5.7,5.8,11.2,23.7,23.9,12,5.5,11.6,7.6,12.8,13.1,19.1,12.7,6.3,8.3,13.9,11.2,6.8,3.8,15.1,5.1,13,7,13.4,9.2,8.4,13.3,6.9,8.7,4.7,8.6,2.6,6.4,10.4,12.2
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Married couple families,6.9,3.1,2.9,3.7,4.7,6.7,5.6,4.8,5.7,2.4,4.4,4,8.7,3,3,3.9,2.8,5.1,3,5.1,9.9,12.3,7,4.4,7.8,4.1,4.1,6.9,8.9,7.6,7.6,4.5,7.2,10.7,5.6,2.8,8.2,6.1,5.7,4,5.4,5.3,5.8,8.1,4,5.3,3.7,3.1,2.8,3.6,5.4,5.5
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,9.8,3.8,3.4,4.3,5.3,8.8,7.1,5.8,7.5,3.1,4.3,4.2,12.1,3.2,2.2,3.2,2.9,7.4,3.2,5.7,13.6,16.9,9.1,6.8,7.7,5.3,5.7,6.5,13.2,10.1,10.2,6,9.1,13.3,5.7,2.6,11,6.6,6.1,5.2,4.6,6.9,8.3,9,4.8,7.2,3.2,3.6,2.7,4.7,6.8,6.6
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,10.2,2.5,3.2,1.4,4.1,7.4,6.2,7.7,3.5,3.4,5.3,2.3,9,0.7,2.9,2.3,5.1,0,1.9,5.9,3.7,8.7,5.4,1.7,5.6,0,2.6,5,12.1,9.9,3,6.7,7.7,1,2.2,3,3.3,4.2,3,8.2,4.6,1.1,0,6,5.3,1.6,2.3,2.7,0.8,7,4.1,6.3
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,"Families with female householder, no spouse present",24.8,14.6,14.5,18.7,16.7,14.1,22.1,15.1,23,13.5,18.5,16.8,34,11.8,15.5,10.2,8.9,20.1,16.4,22.8,32.6,33.9,24.5,24,24.6,16.8,20,14.4,20,16.8,15.8,15.5,22.5,23.6,21.6,11.9,26.8,15.1,24.2,8.1,21.3,21.6,23,21.9,13,16.8,12.6,13.5,14.1,12.5,17.4,18.1
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,32.6,21.3,20.5,20.9,24.4,21,29,24.2,30.5,21.3,25.9,25.7,41.9,15,26,15.4,16.2,28,28.8,30.7,41.5,43.5,30.4,31.9,34.4,25.7,29.7,19.7,28.8,23.6,24.5,22.1,30.2,33.7,29.9,18.9,36.3,21.9,33.1,12.6,28.7,30.6,35.3,32,22.8,25.8,21.3,18.6,23.8,16,22.6,26
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,41.3,44.4,45.4,16.6,25.3,30.5,26.1,29.5,39.2,13.9,28,5.9,64.1,35.6,10.7,12.2,17.4,17.3,39.3,37.2,56,59.7,40.5,14.2,29.7,43.2,54.4,43.3,41.9,43.7,11.8,17.1,31.1,35.9,20.7,30.9,29.3,12.3,40.9,0,51,35.1,23.4,40.4,16.3,27.6,20.6,42,18,4.4,39.5,17.9
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All people,16.3,10.3,7.3,12,10,12.1,12.3,11,12.5,6.4,12.4,13.2,18,6.9,8,7.2,6.4,12.9,9.2,11.7,21,22.8,15.3,15,14.7,8.5,10.8,10,15.9,13.7,12.2,11.2,14.1,20,11.6,8.3,19.6,10.6,13.1,7.6,10.5,14,15.9,15.2,9,12.3,8.4,7.7,7.2,9.7,11.5,11.1
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Under 18 years,18.6,9.5,6.4,10.9,11.1,14,13.9,13.9,16.8,8,10.4,12.1,24.4,6.2,7.6,6.1,5.8,18.7,10.1,13.9,27.5,30.4,19.8,17.4,18.9,11.3,15.4,8.8,22.5,16.4,17.5,12.1,18.2,25.3,16,7.5,24.6,14.1,17.5,9.6,12,18.9,21.5,22.2,9.5,17.3,7.7,8.8,8,8,13.5,13.6
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 18 years,18.3,9.4,6.3,10.6,10.7,13.8,13.6,13.4,16.5,7.5,10.1,11.6,24.1,6,7.5,5.8,5.6,18.2,9.7,13.3,27.3,30.3,19.8,16.9,18.3,11.2,14.9,8.4,21.8,16.4,17.2,11.8,17.9,25,16,7.3,24.1,14,17.1,9.1,11.5,18.7,21.3,21.8,9.4,16.7,7.5,8.3,7.7,7.7,13.2,13.5
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 5 years,23,10.1,7.6,13.9,11,12,14.6,16.9,17.2,7.2,9.2,7.7,24.3,5.8,7.3,4.4,5.9,19,9.1,17.2,26.7,30.7,18,12.9,21.7,13.4,17.5,9.5,23.7,17.5,14.7,11.8,18.4,22,14.3,8.3,22.9,12.1,18.5,9.5,12.5,16.2,14.9,21.5,7.3,16.2,6.4,9.9,6.4,7.3,12.3,14.1
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder 5 to 17 years,16.7,9.1,5.9,9.5,10.6,14.5,13.3,12.3,16.3,7.6,10.4,13.2,24,6,7.6,6.2,5.5,17.9,9.9,11.9,27.5,30.2,20.3,18.4,17.2,10.5,14.2,8.1,21.2,16,18.1,11.9,17.7,26,16.5,7,24.6,14.5,16.6,8.9,11.1,19.4,23.5,21.9,10,16.9,7.8,7.8,8.2,7.9,13.6,13.3
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,18 years and over,15.6,10.5,7.5,12.2,9.7,11.5,11.9,10.3,11,5.9,12.8,13.4,15.5,7.1,8,7.6,6.5,10.9,9,10.9,18.4,19.4,13.7,14.4,13.2,7.7,9.2,10.3,14.1,13.2,10.8,11,12.6,18.9,10.2,8.4,18.3,9.7,11.6,7.1,10,12.8,14.3,13.2,8.9,10.9,8.5,7.4,7,10.1,11,10.3
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,65 years and over,13,9.3,7.9,10.5,9.2,11.8,12.7,9.7,9.3,6.1,19.8,13.8,15.7,9.6,11.2,10.8,10.7,13.8,8.4,11,18.1,18.3,13.4,10,14.6,7.9,10.9,13.5,14.1,18.3,13,11.4,12.1,25.5,12.1,9.5,20,13.7,14.6,8.8,12.2,13.9,16,16.1,11.7,14.4,7,8.4,6.4,9.5,11,11.9
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,People in families,11.5,5.8,4.3,6.7,7,9,9.8,7.8,10.2,4.8,7,8,15.4,4.3,4.9,4.5,3.8,10.1,5.6,9.2,18.3,19.8,12.8,9.5,12,6.4,8.6,7.4,12.9,10.2,9.9,7.5,11.8,15.6,9.8,4.6,15.4,8.5,10.3,5.4,8.3,10.4,12.7,12.6,6.1,8.7,5.3,5.5,4.7,5.6,8.7,8.8
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Unrelated individuals 15 years and over,33.4,24.7,21.4,28.8,24.1,23.8,23.3,26.3,27,15.4,20.2,24.3,35.7,21.7,19.7,19.1,16.7,26.9,23.4,24.4,36.3,43.6,29,31.6,30.3,20.3,25.8,21.8,28.7,20.3,28.5,22.8,28.2,31.5,24.6,17.1,31.9,25,30.7,21,22.4,28.1,32.1,28.1,27.1,29.9,18.8,22,17.8,20,20.4,25.5
Education,School Enrollment,Population 3 years and over enrolled in school,"191,315","162,176","176,903","196,297","189,738","176,969","199,783","180,446","205,915","182,384","114,105","176,633","236,383","168,364","155,498","197,865","168,480","205,637","186,301","220,228","232,296","236,071","205,918","211,162","209,537","182,817","203,897","176,779","175,528","132,319","177,008","171,085","219,156","166,869","200,322","182,531","191,582","180,334","223,078","183,933","199,455","183,957","179,386","183,666","192,532","196,141","200,136","185,240","170,055","195,824","191,772","197,836"
Education,School Enrollment,"Nursery school, preschool","8,305","10,568","7,965","7,059","8,589","7,367","10,736","7,949","10,172","10,038","9,898","9,813","8,439","10,915","11,831","15,005","10,356","9,131","9,127","9,783","9,566","8,022","7,621","9,558","7,168","8,954","10,921","10,046","11,228","8,473","10,315","10,914","5,651","8,569","7,017","11,267","9,140","9,926","11,224","14,723","6,776","8,247","9,145","7,589","9,469","8,046","10,150","8,753","10,556","9,163","11,033","11,161"
Education,School Enrollment,Kindergarten,"8,936","10,694","9,257","7,650","9,647","9,265","9,198","8,691","11,827","7,542","3,496","7,273","11,555","8,862","7,105","7,819","8,939","8,694","7,138","11,638","13,506","12,459","10,286","7,949","13,428","10,045","11,058","8,749","8,233","4,539","8,683","8,998","11,688","7,172","9,043","7,313","7,585","9,462","11,435","10,404","11,938","7,788","10,312","9,186","9,457","8,857","8,511","9,484","10,180","6,495","8,818","9,661"
Education,School Enrollment,Elementary school (grades 1-8),"77,764","62,371","75,299","66,179","78,238","74,647","75,614","68,315","88,425","79,574","40,469","51,918","100,865","69,898","57,654","74,350","58,613","83,030","61,310","94,293","96,738","108,427","89,685","65,121","86,762","72,562","85,401","62,584","66,742","49,438","65,992","63,723","95,554","62,069","82,535","58,142","64,708","70,380","81,368","62,883","80,638","63,355","71,071","77,370","69,848","74,496","68,113","80,852","65,914","58,882","65,654","78,276"
Education,School Enrollment,High school (grades 9-12),"44,437","38,577","38,675","39,600","44,788","38,214","43,666","39,185","48,868","40,988","18,569","30,793","62,395","37,253","33,628","39,676","32,505","47,792","36,533","50,155","55,331","62,503","47,246","36,371","52,562","43,228","48,188","36,764","41,609","24,071","39,773","27,028","50,803","35,511","45,410","30,423","38,617","36,540","50,483","39,233","45,499","40,719","39,992","39,028","42,403","41,171","35,948","39,810","38,577","34,780","28,466","43,703"
